632 contracts in generation 2 and 1 contract in generation 3:

mysql> select creatorAddress, count(*) as c from eth.contractCreatedContract where generation=2 group by creatorAddress order by c desc;
+--------------------------------------------+----+
| creatorAddress                             | c  |
+--------------------------------------------+----+
| 0xb4c21f0696e546ac23a654e8e93fb132a6e6a17f | 24 |
| 0xe18c2c4c2a35b9d795a6d7705e63c5fc99d6ffe4 | 23 |
| 0xcd4121e07575f3c3adb22643c96f5fbabec978fc | 23 |
| 0xe77928b5e367a23c8457e1f27a3c12fd191fdbd9 | 23 |
| 0x2ae151872dabd5ca36d7b72db578f6e1ca13d50d | 21 |
| 0x62f6af5864cf9a0386055be882ba74722224b0f7 | 21 |
| 0x834b63ece215757fe35acd4949db03163abd0922 | 18 |
| 0x3af3a0d9d960245ba83b2ac9e1afd1b25772ba05 | 17 |
| 0xa7cd6cc6b7bdb26b7732d6a58fd39b8f243c8393 | 17 |
| 0x8a8a9225684cb0dd4a84012ef2edaf6a89ec46b9 | 15 |
| 0x0056732e5433dabfc0310846b76e5e8721519041 | 15 |
| 0x4f3656cb93da6555da3a428e32e0a590d2e8b527 | 14 |
| 0x4d13d533249d332422b9453495a150d5577b326d | 13 |
| 0xf1f1ad1c2ac169489ed4e5874d62b295469b7490 | 13 |
| 0xfc80b6a9d539aae45864b17eb8c78c9ba7c99aa5 | 12 |
| 0x9d2e8c50742d4f5a1b45663c214392bb59485a38 | 12 |
| 0x89b850da7119a8059f12a462b55b221c4769fb2d | 11 |
| 0xb481cb1548f05ad53f291f6da31dffc01724b3c1 | 11 |
| 0xfa86985840d74cda1703262c509f988c586cd46d | 10 |
| 0xafa5e49a4f6efbadc9a093ecca8b1f2f2682ff15 | 10 |
| 0x73ad4c61fcb41d23c07ff5b7388ef2b21991c269 |  9 |
| 0x09e8585520fc2221f2c286b085576a3b4e25f902 |  8 |
| 0x2bb3cd0e780f2e39c182003774e13f3e10a10a92 |  7 |
| 0x3e1c7d1c546f915aab579e0b6b3e7bc9143c2555 |  7 |
| 0x9f6a48a3d54a914f5525ed4aa934f8c516f5c128 |  6 |
| 0xf7fbc1fbb31da8b432a99b2bb812ae4f6617ad42 |  5 |
| 0x3cf51aa588e35272f0a0416c5598fe6f53b5cd6b |  5 |
| 0xb0ec7a80760a760fb4f16ef02b50f8436f0ee79f |  5 |
| 0x2a4f68c7781f35485d2b72b2185f70bbb4c2f2b3 |  5 |
| 0x3d51005fa4defbc5fc9b35ffd06bc2f90208e7f3 |  5 |
| 0x9df3a24d738ae98dea766cd89c3aef16583a4daf |  4 |
| 0x7f294cee910dcfb886fa1751b4a8d74d12d33ba8 |  4 |
| 0x215ada4ce57c98b543c0aad21c9908a214ea3402 |  4 |
| 0x780e0d08966bca672d7f444f3994cfeb91a7b265 |  4 |
| 0xa092a39710cd839fabde25185526784fe9771605 |  4 |
| 0x175a349186f228e7758cce1c1ba125e0d0514df4 |  4 |
| 0x90292f53dec6b5b3a7220abbc0b8e3d8dbad6070 |  4 |
| 0x94138433c2f431b2e618d1dbae8afaab851825fb |  4 |
| 0x0a5d5219346f18c045e16f35cc5d7ed49f0a93da |  4 |
| 0x70bad33a44fc01787c4102e39b17dedd3ebc7253 |  4 |
| 0x94dea8c49e445fcabcc14abb4c895fe1468deafc |  4 |
| 0xe296a34fbcd7211883ab3d8a2706ddd1cefe0157 |  3 |
| 0xb9c4491483351b09a13ddd3337653a01132556f0 |  3 |
| 0xae8ad128fe363143f92105160d254a5cd34ad818 |  3 |
| 0xfcb6f19e29191b5689dadb4ad06a2d4d921c4f6a |  3 |
| 0x18532db272dd8c0b9dde7d46dbf5830f19fb3cf8 |  3 |
| 0xb582c91eb70c7f2b8875f85b13e1df74f357930c |  3 |
| 0x64d6cd37096ca62b88b6647a697c7cc0f50dd709 |  3 |
| 0x0195b9a34d287f4cebe76f9f3b00bf35db7c2067 |  3 |
| 0x4791cfa7dfde07b7e9c591b419c46c3f8b7bd548 |  3 |
| 0xcb5670e57fcdedf16a195606187a18b24b9637b0 |  3 |
| 0xded47583e1235910ed5e5d930b2377a42c0c2b30 |  3 |
| 0x8a55cdc7d04d99d6b9a1e649d948b020be4f7dfc |  3 |
| 0xec869315b626ebc743d3df9d0424249c1190f2b6 |  2 |
| 0xd2c6d47e47993473336d3965fe3429bc62a6f00a |  2 |
| 0xacdea77439acedf3cf2a2613257f4046d611ee33 |  2 |
| 0x08262a2806df0cc1959e96e2dd91989cc932252b |  2 |
| 0x1fc52f1abade452dd4674477d4711951700b3d27 |  2 |
| 0x440a38b58b5fba0f5756902c24d3f9238a53495f |  2 |
| 0xe27d6db6351fb9e56f1ffa2c8fe36161f0b8784b |  2 |
