most used contract hashes 12.09.2018:

mysql> select hash, occurrences from eth.contractCode order by occurrences desc limit 100;
+--------------------------------------------------------------------+------------+
| hash                                                               | occurrences |
+--------------------------------------------------------------------+------------+
| 0xce33220d5c7f0d09d75ceff76c05863c5e7d6e801c70dfe7d5d45d4c44e80654 |    1501277 |
| 0xa730bf4ae8b8d79a8c09ab8d29b845fdd4c90f497f2b15089a8c5320d8cd7d9c |     539986 |
| 0x337c29fd9976d67b66b28034c1414c04861ce13b19a267c6e01d66f2cdb6bfba |     539983 |
| 0xf643a5ad3e6840489c7b44ba254772e62a9c6f80f2727b80cf119e41b23b76f4 |     382247 |
| 0xbc930f5d567dda28d4414ebdb97e4bc583c5234b98bb0ac7099a7fb171f0f2a7 |     306610 |
| 0x1e4366082444073b4bea23568c108c4288f2293bf126f5cd6359c41ec52fc7fe |     305042 |
| 0xa7e48f0d73eaf7c47528d6ab59ffae7b4aec13c5eb888b7359f014521767c848 |     220044 |
| 0xf0b332bc44312957c41e1c20a16725fe869fe75441fd6ffd6bd0e13f2703d1ea |     142581 |
| 0x6e2ef1c7b8f127eba9720f038701c71fa598e7d0182c2d23f61c502bbd5edcae |     109652 |
| 0xa5aaf718d97939f464c1fab21f2ee2ceec9dd4090bdac990eff85cfc6d25be01 |      89134 |
| 0xaf0dbc1dc0572cf9cb5bffd1c9801f27ad6bae4926f6977a8aa0d84a01d84338 |      78950 |
| 0xaffe208456e818f69a73122832d6db3a7b93175f3bf83dd7f080d11743c81ea9 |      65600 |
| 0xb3365a2c2f4b0e7dd1a1bec87545fa726d40dffc4266d13024bf3b282f708b3a |      64868 |
| 0xdcf182706ef7caf1dfa3ff3529136ec4e3be7dcc63bc11da5930a45aa2e59b05 |      58182 |
| 0xa05fc946278f27029157571be9b363c0f9a66e866e2bc779e1f64e9cf60fd70a |      58182 |
| 0x29164acf9a06c22bbe9da20100d94116c6ef93f44a5b58ebd6e1954c3bf436df |      57551 |
| 0x4092c8a5fb6487e931a5679ab058788c99bdb84fb49fdbf8cd5dc131e8a2f19f |      55449 |
| 0xd501926049cbaa26e07c749cecc8c5a297d7be5aff456040a85c65ba165af39d |      42566 |
| 0xfd7d42d16a7ccd2ebb71a3051a585faf67ea85c2a45e4420d5b32df89432a1d9 |      39587 |
| 0xcbe2509ac864a204cb202cfb8ac72eb0267ab6d654dff3d3dce33eb3e4f364d0 |      37600 |
| 0xe22bb021f5e78ad3237d58731feabbcdc1cae8e72277a018d6973d7ec00fc769 |      36016 |
| 0x99bacc31124c3a8294b00d703155a6d9e3fbad9511fb16da71f101fe12fd6233 |      32537 |
| 0x4c4e287bddda5276a9596cd1564d309dcc1c2ee7e1cd832cce1fbe79f3598057 |      31285 |
| 0x7a3670f78c75958f13f8579474b348612a80af61fa9b61b2c81c415523f17059 |      30767 |
| 0x7a0822b834c55882ef78b3ce3accc7acf2ec37586cc797a5e7cbfc72efc464d9 |      29600 |
| 0xcbd377f7f2fb7a2bb8ae60d2f3bf704677000f1db23c014524ffcc7448425307 |      29054 |
| 0xcc51f2662e47ac26308e1d5858fca3f7a28fc3f6dce017d2e9019f76927ed74e |      27572 |
| 0x8749e3deb0ec3aaef87f37f18f4801a6afd90d774e9709627a98123b00b100b2 |      22806 |
| 0xcf991db76896c91579ffd41c1e7f9e1e990d77738292fe12249da5122e47c121 |      22574 |
