Zero-gas-price contract-creation-transactions (19.09.2018):

mysql> select gas, gasPrice, hash, txFrom from eth.contractTransaction order by gasPrice limit 50;
+---------+----------+--------------------------------------------------------------------+--------------------------------------------+
| gas     | gasPrice | hash                                                               | txFrom                                     |
+---------+----------+--------------------------------------------------------------------+--------------------------------------------+
| 0x2f46e | 0x0      | 0x00323b6beeeab97eb7c5ceda3ac96c2dd35ac4137c6b13b41a8cb1d285dd80c2 | 0x576ee73126b28ab286b2cd8710f10998bd120440 |
| 0x24d1f | 0x0      | 0x00078dae4979e35888e1a97a51f45e199abec40e8629feaaad681030876bee3a | 0x62585366563df81ad3742f2f71151db5e15da132 |
| 0x28f0b | 0x0      | 0x00010de75841fa2dd4a39590d136e9fd32beecb0d08441218698f427c8173ba7 | 0x7429d80c5b518fca91e5dc37e9c12afb564ca869 |
| 0x2b77c | 0x0      | 0x0019804d132f2b539b8bbd680c61e8d3e642a51c713433a006234da1d3b8a3e4 | 0x77e0db6ffeb5382ee505d68a10e0baddf70b14cf |
| 0x26860 | 0x0      | 0x000f9449fa7686de53cc53c4a4d215999be4f787c8acbc0b7d9767fa31ccb344 | 0x8f805676ed28165250bce92b3cda1aefbd5fe98b |
| 0x2b655 | 0x0      | 0x0032496942c2b37312067a007bd95595260b66e7b3293a4a34278b94fae81a99 | 0x72d239b224afff1e1596dc5875b8b678e1c5e432 |
| 0x26713 | 0x0      | 0x001df280926b046cfd66940fe44993ab2b3271ef09901f34fa63681fd0244aa8 | 0x14a3f60f0222a1c2dfa80f403336f550470f10ad |
| 0x15f6e | 0x0      | 0x0006e1d0f0b0ed212ea465ec314a8809cfb5c835588acec5b02d0b13607360bb | 0x80e612692073bf1d3ff02242f07b52c4413e6e10 |
| 0x2e957 | 0x0      | 0x001532f30bf0e7954f26badd46f96f56fec29975453526d942ad900cf68fd304 | 0x4f82b4c535a056dbedf312988aca3a2805569b6f |
| 0x258cf | 0x0      | 0x00307113d4330644adcc6e0af9bd5b3314c3e84ac589a3436c0bb8f2b3e4f893 | 0x9172600274c6a4b12e3c851ee0b4e0b362a47f68 |
| 0x282bc | 0x0      | 0x000d9fb50e80842b375320566e125ed9ee849641ad13133e02fa0a2d9e6b42af | 0x40b2505986ff56ecb6ab21d697ccc8fb8a6f96de |
| 0x263f9 | 0x0      | 0x00209dbf767461104d4be94c28a3305e091228ee6c92525eb76962442fae0838 | 0x57bc30cc70f9988b3644586ad9710d07c2e15e6b |
| 0x28b30 | 0x0      | 0x0001816f5a6f017bdd86e46b28ff0565edcbdf8a3012983b577d569b8d55879c | 0xa00e1d0d45606580913897b1fd4481d52c6807c4 |
| 0x2f7e2 | 0x0      | 0x0020df4e08aa7c84375253c94973776a2921a4392a58a54e0af5ec3f14f7eefa | 0x2f84514bc9b265f3a2f729b4fd88ed8f831746b6 |
